곤욕스럽다,슬픔
남부럽다,슬픔
부끄럽다,슬픔
징그럽다,혐오
더럽다,혐오
역겹다,혐오
흉측,혐오
구역질나다,혐오
꼴불견,혐오
망측,혐오
구질구질.,혐오
경박,혐오
거북,혐오
지독,혐오
꺼림칙,혐오
해괴,혐오
괴상,혐오
느글거리다,혐오
가관이다,혐오
가소롭다,혐오
넌더리,혐오
괴팍,혐오
느끼,혐오
달갑잖다,혐오
못미덥다,혐오
찜찜,혐오
코웃음치다,혐오
부담스럽다,혐오
